phrase,english
BREAD,Bread.
BREAD BREAD,Bread.
BREAD EGG,Bread and Egg.
BREAD LONGANISA,Bread and Longanisa.
BREAD RICE,Bread and Rice.
BYE,Bye
BYE BYE,Bye
BYE DEAF,Bye Deaf.
BYE GOOD AFTERNOON,Bye Good Afternoon.
BYE GOOD EVENING,Bye Good Evening.
BYE GOOD MORNING,Bye Good Morning.
BYE I,Bye I.
BYE OK,Bye Ok.
BYE PARENTS,Bye Parents.
BYE PLEASE,Bye Please.
BYE SORRY,Bye Sorry.
BYE THANK YOU,Bye Thank You.
BYE YOU,Bye You.
BYE YOURE WELCOME,Bye Youre Welcome.
COFFEE,Coffee.
COFFEE COFFEE,Coffee.
COFFEE COLD,Coffee Cold.
COFFEE HOT,Coffee Hot.
COLD,Cold.
COLD COFFEE,Cold coffee.
COLD COLD,Cold.
COLD HOT,Cold Hot.
CORRECT,Correct.
CORRECT CORRECT,Correct.
CORRECT DEAF,Correct Deaf.
CORRECT DON'T KNOW,Correct Don'T Know.
CORRECT I,Correct I.
CORRECT KNOW,Correct Know.
CORRECT NO,Correct No.
CORRECT UNDERSTAND,Correct Understand.
CORRECT WRONG,Correct Wrong.
CORRECT YES,Correct Yes.
CORRECT YOU,Correct You.
DEAF,Deaf.
DEAF CORRECT,Deaf Correct.
DEAF DON'T KNOW,Deaf Don'T Know.
DEAF DRINK,Deaf Drink.
DEAF EAT,Deaf Eat.
DEAF KNOW,Deaf Know.
DEAF LIKE,Deaf Like.
DEAF LIVE,Deaf Live.
DEAF LOVE,Deaf Love.
DEAF NO,Deaf No.
DEAF STOP,Deaf Stop.
DEAF UNDERSTAND,Deaf Understand.
DEAF WANT,Deaf Want.
DEAF WRONG,Deaf Wrong.
DEAF YES,Deaf Yes.
DON'T KNOW,Don'T Know.
DON'T KNOW CORRECT,Don'T Know Correct.
DON'T KNOW DEAF,Don'T Know Deaf.
DON'T KNOW DON'T KNOW,Don'T Know.
DON'T KNOW I,Don'T Know I.
DON'T KNOW KNOW,Don'T Know Know.
DON'T KNOW NO,Don'T Know No.
DON'T KNOW UNDERSTAND,Don'T Know Understand.
DON'T KNOW WRONG,Don'T Know Wrong.
DON'T KNOW YES,Don'T Know Yes.
DON'T KNOW YOU,Don'T Know You.
DRINK,Drink.
DRINK BREAD,Drink Bread.
DRINK COFFEE,Drink Coffee.
DRINK COLD,Drink Cold.
DRINK EGG,Drink Egg.
DRINK FRIDAY,Drink Friday.
DRINK HERE,Drink Here.
DRINK HOT,Drink Hot.
DRINK LONGANISA,Drink Longanisa.
DRINK MAYBE,Drink Maybe.
DRINK MONDAY,Drink Monday.
DRINK MORE,Drink More.
DRINK NAME,Drink Name.
DRINK ORANGE,Drink Orange.
DRINK PINK,Drink Pink.
DRINK RED,Drink Red.
DRINK RICE,Drink Rice.
DRINK SATURDAY,Drink Saturday.
DRINK SUNDAY,Drink Sunday.
DRINK THURSDAY,Drink Thursday.
DRINK TODAY,Drink Today.
DRINK TOMORROW,Drink Tomorrow.
DRINK TUESDAY,Drink Tuesday.
DRINK VIOLET,Drink Violet.
DRINK WEDNESDAY,Drink Wednesday.
DRINK WHATEVER,Drink Whatever.
DRINK WHITE,Drink White.
DRINK YELLOW,Drink Yellow.
EAT,Eat.
